Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
26/07/2024,12:30,Gangwon,Jeonbuk Motors,4,2
27/07/2024,12:00,Gwangju,Suwon,1,0
27/07/2024,12:30,Daegu,Daejeon Hana Citizen,1,1
27/07/2024,12:30,Incheon United,Seoul,0,1
28/07/2024,12:00,Pohang Steelers,Gimcheon Sangmu,1,2
09/08/2024,12:30,Jeonbuk Motors,Gwangju,0,1
09/08/2024,12:30,Gimcheon Sangmu,Gangwon,1,2
10/08/2024,12:00,Ulsan,Daegu,1,0
10/08/2024,12:30,Jeju United,Incheon United,0,1
10/08/2024,12:30,Suwon,Daejeon Hana Citizen,1,2
11/08/2024,12:00,Pohang Steelers,Seoul,1,2
16/08/2024,12:30,Daegu,Gimcheon Sangmu,3,0
16/08/2024,12:30,Seoul,Jeju United,1,0
17/08/2024,12:00,Jeonbuk Motors,Pohang Steelers,2,1
17/08/2024,12:30,Daejeon Hana Citizen,Incheon United,2,1
18/08/2024,12:00,Ulsan,Suwon,1,2
18/08/2024,12:00,Gangwon,Gwangju,3,2
24/08/2024,12:00,Pohang Steelers,Daegu,1,2
24/08/2024,12:30,Incheon United,Jeonbuk Motors,0,1
24/08/2024,12:30,Seoul,Gangwon,2,0
25/08/2024,12:00,Gwangju,Ulsan,0,1
25/08/2024,12:00,Suwon,Jeju United,5,0
25/08/2024,12:00,Gimcheon Sangmu,Daejeon Hana Citizen,2,2
31/08/2024,12:00,Ulsan,Pohang Steelers,5,4
31/08/2024,12:30,Daegu,Incheon United,1,2
01/09/2024,11:00,Jeju United,Gimcheon Sangmu,1,0
01/09/2024,12:00,Jeonbuk Motors,Seoul,0,0
01/09/2024,12:00,Daejeon Hana Citizen,Gwangju,2,0
01/09/2024,12:00,Gangwon,Suwon,2,2
13/09/2024,12:30,Ulsan,Gangwon,2,0
13/09/2024,12:30,Gwangju,Pohang Steelers,2,1
14/09/2024,09:30,Seoul,Daejeon Hana Citizen,2,3
14/09/2024,12:00,Jeju United,Daegu,0,4
14/09/2024,12:00,Suwon,Jeonbuk Motors,0,6
15/09/2024,09:30,Gimcheon Sangmu,Incheon United,2,0
21/09/2024,09:30,Suwon,Gimcheon Sangmu,2,4
21/09/2024,12:00,Daegu,Seoul,1,1
22/09/2024,09:30,Pohang Steelers,Gangwon,2,1
22/09/2024,09:30,Gwangju,Jeju United,0,2
22/09/2024,12:00,Incheon United,Ulsan,0,0
